DATE PLACED,TICKET#,SPORT,DESCRIPTION,RISK/WIN
Feb-08-2023 01:34 AM,447391730,ODDS TO WIN [801053] BALTIMORE ORIOLES +2200,[TNT] - MLB - 2023 AMERICAN LEAGUE,"$50/$1,100"
Feb-07-2023 08:07 AM,447229009,[903201] TOTAL o13½-145 (2H KC CHIEFS TOTAL POINTS vrs 2H KC CHIEFS TOTAL POINTS),[NFL],$73/$50
Feb-07-2023 07:48 AM,447228531,[3101] 1Q KC CHIEFS +½-163,[NFL],$82/$50
Jan-30-2023 11:16 PM,446084596,ODDS TO WIN [801013] HOUSTON ASTROS +550,[TNT] - MLB - 2023 WORLD SERIES,$50/$275
Jan-30-2023 11:16 PM,446084595,ODDS TO WIN [801004] ATLANTA BRAVES +900,[TNT] - MLB - 2023 WORLD SERIES,$50/$450
Feb-08-2023 03:43 AM,447393786,[2102] TOTAL u26½+105 (2H KC CHIEFS vrs 2H PHI EAGLES),[NFL],$59/$61
Feb-08-2023 07:51 AM,447396479,CHIEFS TOTAL PUNTS [90910] TOTAL u3½-120 (KC TOTAL PUNTS vrs KC TOTAL PUNTS),[MU] - SUPER BOWL,$62/$51
Feb-08-2023 08:01 AM,447396653,ADJUSTED SPREAD/TOTAL [13016] PHI EAGLES ADJ LINE -21½+1300 (KC CHIEFS ADJ LINE vrs PHI EAGLES ADJ LINE),[MU],$65/$845
Feb-08-2023 08:05 AM,447396728,TEAM TO SCORE FIRST [83101] VAN SC 1ST +165 (VAN SC 1ST vrs NYR SC 1ST),[MU],$64/$105
Feb-08-2023 08:09 AM,447396872,TX [29101] O'SHAQUIE FOSTER +135 (O'SHAQUIE FOSTER vrs REY VARGAS),[MU] - BOXING - WBC JUNIOR LIGHTWEIGHT TITLE BOUT (12 ROUNDS) @ ALAMODE,$53/$71
Feb-08-2023 05:51 PM,447458099,[529] DET PISTONS +410,[NBA],$62/$254
Feb-08-2023 05:58 PM,447459905,[529] DET PISTONS +410,[NBA],$64/$262
Feb-08-2023 06:02 PM,447461016,[533] PHI 76ERS +155,[NBA],$59/$91
